"Author","Year","Title","Journal","Doi","URL"
"Slyder, JB; Wenzel, JW; Royo, AA; Spicer, ME; Carson, WP",2020,"Post-windthrow salvage logging increases seedling and understory diversity with little impact on composition immediately after logging","NEW FORESTS","10.1007/s11056-019-09740-x","http://doi.org/10.1007/s11056-019-09740-x"
"Shayanfar, A; Ghaderi-Far, F; Behmaram, R; Soltani, A; Sadeghipour, HR",2020,"Impacts of fire cues on germination of Brassica napus L. seeds with high and low secondary dormancy","PLANT BIOLOGY","10.1111/plb.13115","http://doi.org/10.1111/plb.13115"
"Abella, SR; Hodel, JL; Schetter, TA",2020,"Unusually high-quality soil seed banks in a Midwestern US oak savanna region: variation with land use history, habitat restoration, and soil properties","RESTORATION ECOLOGY","10.1111/rec.13164","http://doi.org/10.1111/rec.13164"
"Porcuna-Ferrer, A; Fiala, V; Freyer, B; van Etten, J; Vernooy, R; Probst, L",2020,"Do community seed banks contribute to the social-ecological resilience of communities? A case-study from Western Guatemala","INTERNATIONAL JOURNAL OF AGRICULTURAL SUSTAINABILITY","10.1080/14735903.2020.1747199","http://doi.org/10.1080/14735903.2020.1747199"
"Vieira, MD; Overbeck, GE",2020,"Small seed bank in grasslands and tree plantations in former grassland sites in the South Brazilian highlands","BIOTROPICA","10.1111/btp.12785","http://doi.org/10.1111/btp.12785"
"Lozano, YM; Hortal, S; Armas, C; Pugnaire, FI",2020,"Complementarity in nurse plant systems: soil drives community composition while microclimate enhances productivity and diversity","PLANT AND SOIL","10.1007/s11104-020-04503-6","http://doi.org/10.1007/s11104-020-04503-6"
"Piqueray, J; Gilliaux, V; Wubs, ERJ; Mahy, G",2020,"Topsoil translocation in extensively managed arable field margins promotes plant species richness and threatened arable plant species","JOURNAL OF ENVIRONMENTAL MANAGEMENT","10.1016/j.jenvman.2020.110126","http://doi.org/10.1016/j.jenvman.2020.110126"
"Dong, HG; Liu, T; Liu, ZQ; Song, ZL",2020,"Fate of the soil seed bank of giant ragweed and its significance in preventing and controlling its invasion in grasslands","ECOLOGY AND EVOLUTION","10.1002/ece3.6238","http://doi.org/10.1002/ece3.6238"
"Groves, AM; Bauer, JT; Brudvig, LA",2020,"Lasting signature of planting year weather on restored grasslands","SCIENTIFIC REPORTS","10.1038/s41598-020-62123-7","http://doi.org/10.1038/s41598-020-62123-7"
"Wolkis, D; Blackwell, S; Villanueva, SK",2020,"Conservation seed physiology of the cienega endemic, Eryngium sparganophyllum (Apiaceae)","CONSERVATION PHYSIOLOGY","10.1093/conphys/coaa017","http://doi.org/10.1093/conphys/coaa017"
"Arruda, AJ; Costa, FV; Guerra, TJ; Junqueira, PA; Dayrell, RLC; Messeder, JVS; Rodrigues, HTS; Buisson, E; Silveira, FAO",2020,"Topsoil disturbance reshapes diaspore interactions with ground-foraging animals in a megadiverse grassland","JOURNAL OF VEGETATION SCIENCE","10.1111/jvs.12866","http://doi.org/10.1111/jvs.12866"
"Casabianca, S; Capellacci, S; Ricci, F; Andreoni, F; Russo, T; Scardi, M; Penna, A",2020,"Structure and environmental drivers of phytoplanktonic resting stage assemblages in the central Mediterranean Sea","MARINE ECOLOGY PROGRESS SERIES","10.3354/meps13244","http://doi.org/10.3354/meps13244"
"Sidibe, A; Meldrum, G; Coulibaly, H; Padulosi, S; Traore, I; Diawara, G; Sangare, AR; Mbosso, C",2020,"Revitalizing cultivation and strengthening the seed systems of fonio and Bambara groundnut in Mali through a community biodiversity management approach","PLANT GENETIC RESOURCES-CHARACTERIZATION AND UTILIZATION","10.1017/S1479262120000076","http://doi.org/10.1017/S1479262120000076"
"Wyatt, R",2020,"Corydalis flavula and Nemophila aphylla in Georgia: Ecological observations","JOURNAL OF THE TORREY BOTANICAL SOCIETY","10.3159/TORREY-D-19-00045.1","http://doi.org/10.3159/TORREY-D-19-00045.1"
"Silva, GHM; Overbeck, GE",2020,"Soil seed bank in a subtropical grassland under different grazing intensities","ACTA BOTANICA BRASILICA","10.1590/0102-33062019abb0297","http://doi.org/10.1590/0102-33062019abb0297"
"Sellinger, TPP; Abu Awad, D; Moest, M; Tellier, A",2020,"Inference of past demography, dormancy and self-fertilization rates from whole genome sequence data","PLOS GENETICS","10.1371/journal.pgen.1008698","http://doi.org/10.1371/journal.pgen.1008698"
"Jaklic, M; Koren, S; Jogan, N",2020,"Alien water lettuce (Pistia stratiotes L.) outcompeted native macrophytes and altered the ecological conditions of a Sava oxbow lake (SE Slovenia)","ACTA BOTANICA CROATICA","10.37427/botcro-2020-009","http://doi.org/10.37427/botcro-2020-009"
"Santos, AMD; Bruno, RDA; Cruz, JD; da Silva, ID; de Andrade, AP",2020,"Space variability of the seed bank in area of Caatinga in the Northeastern region of Brazil","CIENCIA FLORESTAL","10.5902/1980509840039","http://doi.org/10.5902/1980509840039"
"Konsam, B; Phartyal, SS; Todaria, NP",2020,"Impact of forest fire on soil seed bank composition in Himalayan Chir pine forest","JOURNAL OF PLANT ECOLOGY","10.1093/jpe/rtz060","http://doi.org/10.1093/jpe/rtz060"
"Parisi, M; Alioto, D; Tripodi, P",2020,"Overview of Biotic Stresses in Pepper (Capsicum spp.): Sources of Genetic Resistance, Molecular Breeding and Genomics","INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES","10.3390/ijms21072587","http://doi.org/10.3390/ijms21072587"
"Kanatas, P; Traylos, IS; Gazoulis, I; Tataridas, A; Tsekoura, A; Antonopoulos, N",2020,"Benefits and Limitations of Decision Support Systems (DSS) with a Special Emphasis on Weeds","AGRONOMY-BASEL","10.3390/agronomy10040548","http://doi.org/10.3390/agronomy10040548"
"Pallavicini, Y; Plaza, EH; Bastida, F; Izquierdo, J; Gallart, M; Gonzalez-Andujar, JL",2020,"Weed Seed Bank Diversity in Dryland Cereal Fields: Does it Differ Along the Field and Between Fields with Different Landscape Structure?","AGRONOMY-BASEL","10.3390/agronomy10040575","http://doi.org/10.3390/agronomy10040575"
"Scavo, A; Mauromicale, G",2020,"Integrated Weed Management in Herbaceous Field Crops","AGRONOMY-BASEL","10.3390/agronomy10040466","http://doi.org/10.3390/agronomy10040466"
"Fenu, G; Bacchetta, G; Christodoulou, CS; Cogoni, D; Fournaraki, C; Pietro, GDG; Gotsiou, P; Kyratzis, A; Piazza, C; Vicens, M; de Montmollin, B",2020,"A Common Approach to the Conservation of Threatened Island Vascular Plants: First Results in the Mediterranean Basin","DIVERSITY-BASEL","10.3390/d12040157","http://doi.org/10.3390/d12040157"
"Schmidt, KT; Maltz, M; Ta, P; Khalili, B; Weihe, C; Phillips, M; Aronson, E; Lulow, M; Long, J; Kimball, S",2020,"Identifying Mechanisms for Successful Ecological Restoration with Salvaged Topsoil in Coastal Sage Scrub Communities","DIVERSITY-BASEL","10.3390/d12040150","http://doi.org/10.3390/d12040150"
"Zhou, QM; Lu, N; Gu, L; Sun, YF; Zhang, L; Huang, Y; Chen, YF; Yang, Z",2020,"Daphnia enhances relative reproductive allocation in response to toxic microcystis: Changes in the performance of parthenogenetic and sexual reproduction","ENVIRONMENTAL POLLUTION","10.1016/j.envpol.2019.113890","http://doi.org/10.1016/j.envpol.2019.113890"
"Pence, VC; Finke, LR; Niedz, RP",2020,"Evaluating a DOE screen to reduce hyperhydricity in the threatened plant, Cycladenia humilis var. jonesii","IN VITRO CELLULAR & DEVELOPMENTAL BIOLOGY-PLANT","10.1007/s11627-019-10038-y","http://doi.org/10.1007/s11627-019-10038-y"
"Bockelmann, J; Tremetsberger, K; Sumberova, K; Kohl, G; Grausgruber, H; Bernhardt, KG",2020,"Genetic variation in an ephemeral mudflat species: The role of the soil seed bank and dispersal in river and secondary anthropogenic habitats","ECOLOGY AND EVOLUTION","10.1002/ece3.6109","http://doi.org/10.1002/ece3.6109"
"Prabhudessai, SS; Rivonker, CU",2020,"Distribution of dinoflagellate cysts along the salinity gradient in two tropical estuaries along the West coast of India","MARINE MICROPALEONTOLOGY","10.1016/j.marmicro.2020.101852","http://doi.org/10.1016/j.marmicro.2020.101852"
"Larkin, PD; Hamilton, AM; Lopez, AI; Rubiano-Rincon, S",2020,"How clone can you go? Seedbank density and a multiscale assessment of genotypic diversity in the seagrass Halodule wrightii","AQUATIC BOTANY","10.1016/j.aquabot.2020.103207","http://doi.org/10.1016/j.aquabot.2020.103207"
"Tyler, CM; Odion, DC",2020,"Seed Banks, Seed Germination, and Implications for Conservation of the Endangered, Fire-Dependent Shrub, Arctostaphylos morroensis","NATURAL AREAS JOURNAL","10.3375/043.040.0207","http://doi.org/10.3375/043.040.0207"
"Soni, N; Nissen, SJ; Westra, P; Norsworthy, JK; Walsh, M; Gaines, TA",2020,"Seed retention of winter annual grass weeds at winter wheat harvest maturity shows potential for harvest weed seed control","WEED TECHNOLOGY","10.1017/wet.2019.108","http://doi.org/10.1017/wet.2019.108"
"Mahajan, G; Walsh, M; Chauhan, BS",2020,"Junglerice (Echinochloa colona) and feather fingergrass (Chloris virgata) seed production and retention at sorghum maturity","WEED TECHNOLOGY","10.1017/wet.2019.109","http://doi.org/10.1017/wet.2019.109"
"Collette, JC; Ooi, MKJ",2020,"Evidence for physiological seed dormancy cycling in the woody shrub Asterolasia buxifolia and its ecological significance in fire-prone systems","PLANT BIOLOGY","10.1111/plb.13105","http://doi.org/10.1111/plb.13105"
"Blath, J; Buzzoni, E; Koskela, J; Berenguer, MW",2020,"Statistical tools for seed bank detection","THEORETICAL POPULATION BIOLOGY","10.1016/j.tpb.2020.01.001","http://doi.org/10.1016/j.tpb.2020.01.001"
"Niu, HY; Wan, XR; Zhang, HM; Wang, D",2020,"Oak, Quercus chenii, dispersal in fragmented urban forests: acorn horizontal and vertical dispersal, seedling establishment and growth","URBAN ECOSYSTEMS","10.1007/s11252-019-00911-4","http://doi.org/10.1007/s11252-019-00911-4"
"Li, XB; Kang, YH",2020,"Agricultural utilization and vegetation establishment on saline-sodic soils using a water-salt regulation method for scheduled drip irrigation","AGRICULTURAL WATER MANAGEMENT","10.1016/j.agwat.2019.105995","http://doi.org/10.1016/j.agwat.2019.105995"
"Wang, ZR; Baskin, JM; Baskin, CC; Yang, XJ; Liu, GF; Huang, ZY",2020,"Dynamics of the diaspore and germination stages of the life history of an annual diaspore-trimorphic species in a temperate salt desert","PLANTA","10.1007/s00425-020-03380-8","http://doi.org/10.1007/s00425-020-03380-8"
"Figueroa, JA; Saldias, G; Teillier, S; Carrera, E; Castro, SA",2020,"Seed banks in urban vacant lots of a Latin American megacity are easily germinable and strongly dominated by exotic flora","URBAN ECOSYSTEMS","10.1007/s11252-020-00986-4","http://doi.org/10.1007/s11252-020-00986-4"
"Zhang, XM; Zhou, Y; Xu, SC; Wang, PM; Zhao, P; Yue, SD; Gu, RT; Song, XY; Xu, S; Liu, JX; Wang, XD",2020,"Differences in reproductive effort and sexual recruitment of the seagrass Zostera japonica between two geographic populations in northern China","MARINE ECOLOGY PROGRESS SERIES","10.3354/meps13248","http://doi.org/10.3354/meps13248"
"Shoemaker, CM; Ervin, GN",2020,"Factors at Multiple Scales Influence Recruitment from Herbaceous Wetland Seed Banks in the Lower Mississippi Alluvial Valley","WETLANDS","10.1007/s13157-019-01248-6","http://doi.org/10.1007/s13157-019-01248-6"
"Mei, G; Pesaresi, S; Corti, G; Cocco, S; Colpi, C; Taffetani, F",2020,"Changes in vascular plant species composition, top-soil and seed-bank along coppice rotation in an Ostrya carpinifolia forest","PLANT BIOSYSTEMS","10.1080/11263504.2019.1609618","http://doi.org/10.1080/11263504.2019.1609618"
"da Silva, FHB; da Cunha, CN; Overbeck, GE",2020,"Seasonal Dynamics of Flooded Tropical Grassland Communities in the Pantanal Wetland","WETLANDS","10.1007/s13157-020-01281-w","http://doi.org/10.1007/s13157-020-01281-w"
"Haubensak, KA; Grove, S; Foster, J; Parker, IM",2020,"Chemical and mechanical control of the invasive shrub Cytisus scoparius in forest clearings in western Washington, USA","INVASIVE PLANT SCIENCE AND MANAGEMENT","10.1017/inp.2020.1","http://doi.org/10.1017/inp.2020.1"
"Ruwanza, S",2020,"Potential of Soil Seed Bank and Ungulate-mediated Endozoochory in Old Field Restoration","ECOLOGICAL RESTORATION","10.3368/er.38.1.9","http://doi.org/10.3368/er.38.1.9"
"Mihelich, NT; Mulkey, SE; Stec, AO; Stupar, RM",2020,"Characterization of genetic heterogeneity within accessions in the USDA soybean germplasm collection","PLANT GENOME","10.1002/tpg2.20000","http://doi.org/10.1002/tpg2.20000"
"Hu, XJ; Liu, C; Li, AR; Yang, XY; Baskin, C",2020,"Effect of temperature and moist conditions on seed dormancy cycling of two sympatric limestone species,Begonia guishanensisandParaisometrum mileense,in southern China","SEED SCIENCE RESEARCH","10.1017/S0960258520000069","http://doi.org/10.1017/S0960258520000069"
"Jean, SA; Pinno, BD; Nielsen, SE",2020,"Early Regeneration Dynamics of Pure Black Spruce and Aspen Forests after Wildfire in Boreal Alberta, Canada","FORESTS","10.3390/f11030333","http://doi.org/10.3390/f11030333"
"Miller, AJ; Leite, VM; Hall, LM; Bork, EW",2020,"Forage Legume Establishment under Exposure to Progressive Declines in Aminocyclopyrachlor and Aminopyralid in Temperate Pastures","AGRONOMY-BASEL","10.3390/agronomy10030392","http://doi.org/10.3390/agronomy10030392"
"Saska, P; Foffova, H; Martinkova, Z; Honek, A",2020,"Persistence and Changes in Morphological Traits of Herbaceous Seeds Due to Burial in Soil","AGRONOMY-BASEL","10.3390/agronomy10030448","http://doi.org/10.3390/agronomy10030448"
"Dai, L; Yu, RC; Geng, HX; Zhao, Y; Zhang, QC; Kong, FZ; Chen, ZF; Zhao, JY; Zhou, MJ",2020,"Resting cysts of Alexandrium catenella and A. pacificum (Dinophyceae) in the Bohai and Yellow Seas, China: Abundance, distribution and implications for toxic algal blooms","HARMFUL ALGAE","10.1016/j.hal.2020.101794","http://doi.org/10.1016/j.hal.2020.101794"
"Werden, LK; Sugii, NC; Weisenberger, L; Keir, MJ; Koob, G; Zahawi, RA",2020,"Ex situ conservation of threatened plant species in island biodiversity hotspots: A case study from Hawai'i","BIOLOGICAL CONSERVATION","10.1016/j.biocon.2020.108435","http://doi.org/10.1016/j.biocon.2020.108435"
"Coelho, N; Goncalves, S; Romano, A",2020,"Endemic Plant Species Conservation: Biotechnological Approaches","PLANTS-BASEL","10.3390/plants9030345","http://doi.org/10.3390/plants9030345"
"Nikolic, N; Squartini, A; Concheri, G; Stevanato, P; Zanin, G; Masin, R",2020,"Weed Seed Decay in No-Till Field and Planted Riparian Buffer Zone","PLANTS-BASEL","10.3390/plants9030293","http://doi.org/10.3390/plants9030293"
"Pagnoncelli, FDB; Trezzi, MM; Gonzalez-Andujar, JL",2020,"Modeling the Population Dynamics and Management of Italian Ryegrass under Two Climatic Scenarios in Brazil","PLANTS-BASEL","10.3390/plants9030325","http://doi.org/10.3390/plants9030325"
"Kamara, AY; Menkir, A; Chikoye, D; Solomon, R; Tofa, AI; Omoigui, LO",2020,"Seed Dressing Maize with Imazapyr to Control Striga hermonthica in Farmers' Fields in the Savannas of Nigeria","AGRICULTURE-BASEL","10.3390/agriculture10030083","http://doi.org/10.3390/agriculture10030083"
"Bitarafan, Z; Andreasen, C",2020,"Seed production and retention at maturity of blackgrass (Alopecurus myosuroides) and silky windgrass (Apera spica-venti) at wheat harvest","WEED SCIENCE","10.1017/wsc.2020.7","http://doi.org/10.1017/wsc.2020.7"
"Carpio, AJ; Lora, A; Martin-Consuegra, E; Sanchez-Cuesta, R; Tortosa, FS; Castro, J",2020,"The influence of the soil management systems on aboveground and seed bank weed communities in olive orchards","WEED BIOLOGY AND MANAGEMENT","10.1111/wbm.12195","http://doi.org/10.1111/wbm.12195"
"Claramunt, J; Mas, MT; Pardo, G; Cirujeda, A; Verdu, AMC",2020,"Mechanical characterization of blends containing recycled paper pulp and other lignocellulosic materials to develop hydromulches for weed control","BIOSYSTEMS ENGINEERING","10.1016/j.biosystemseng.2019.12.012","http://doi.org/10.1016/j.biosystemseng.2019.12.012"
"Pan, JF; Zhang, LG; Wang, L; Fu, SL",2020,"Effects of long-term fertilization treatments on the weed seed bank in a wheat-soybean rotation system","GLOBAL ECOLOGY AND CONSERVATION","10.1016/j.gecco.2019.e00870","http://doi.org/10.1016/j.gecco.2019.e00870"
"Fonderflick, J; Besnard, A; Chardes, MC; Lanuzel, L; Thill, C; Pointereau, P",2020,"Impacts of agricultural intensification on arable plants in extensive mixed crop-livestock systems","AGRICULTURE ECOSYSTEMS & ENVIRONMENT","10.1016/j.agee.2019.106778","http://doi.org/10.1016/j.agee.2019.106778"
"Baker, AG; Catterall, C; Benkendorff, K; Fensham, RJ",2020,"Rainforest expansion reduces understorey plant diversity and density in open forest of eastern Australia","AUSTRAL ECOLOGY","10.1111/aec.12871","http://doi.org/10.1111/aec.12871"
"Kiss, R; Deak, B; Tothmeresz, B; Miglecz, T; Toth, K; Torok, P; Lukacs, K; Godo, L; Kormoczi, Z; Radocz, S; Kelemen, A; Sonkoly, J; Kirmer, A; Tischew, S; Svamberkova, E; Valko, O",2021,"Establishment gaps in species-poor grasslands: artificial biodiversity hotspots to support the colonization of target species","RESTORATION ECOLOGY","10.1111/rec.13135","http://doi.org/10.1111/rec.13135"
"Winikoff, SG; Larkin, DJ; Meier, SL; Finlay, JC",2020,"Vegetation trajectories of restored agricultural wetlands following sediment removal","RESTORATION ECOLOGY","10.1111/rec.13128","http://doi.org/10.1111/rec.13128"
"Whelan, RJ; Ayre, DJ",2020,"Long inter-fire intervals do not guarantee a large seed bank in a serotinous shrub (Banksia spinulosa Sm.)","JOURNAL OF ECOLOGY","10.1111/1365-2745.13357","http://doi.org/10.1111/1365-2745.13357"
"de Souza, BL; Ribeiro-Oliveira, JP; Bravo, JP; Dias, GF; da Silva, EAA",2020,"What happens when the rain is back? A hypothetical model on how germination and post-germination occur in a species from transient seed banks","PLOS ONE","10.1371/journal.pone.0229215","http://doi.org/10.1371/journal.pone.0229215"
"Fontenele, HGV; Figueiroa, RNA; Pereira, CM; do Nascimento, VT; Musso, C; Miranda, HS",2020,"Protected from fire, but not from harm: seedling emergence of savanna grasses is constrained by burial depth","PLANT ECOLOGY & DIVERSITY","10.1080/17550874.2020.1729889","http://doi.org/10.1080/17550874.2020.1729889"
"Vernooy, R; Mulesa, TH; Gupta, A; Jony, JA; Koffi, KE; Mbozi, H; Singh, PB; Shrestha, P; Tjikana, TT; Wakkumbure, CLK",2020,"The role of community seed banks in achieving farmers' rights","DEVELOPMENT IN PRACTICE","10.1080/09614524.2020.1727415","http://doi.org/10.1080/09614524.2020.1727415"
"Neto, AM; Martins, SV; Silva, KD",2021,"Soil seed banks in different environments: initial forest, mature forest, Pinus and Eucalyptus abandoned stands","PLANT BIOSYSTEMS","10.1080/11263504.2020.1727979","http://doi.org/10.1080/11263504.2020.1727979"
"Rago, MM; Urretavizcaya, MF; Orellana, IA; Defosse, GE",2020,"Strategies to persist in the community: Soil seed bank and above-ground vegetation in Patagonian pine plantations","APPLIED VEGETATION SCIENCE","10.1111/avsc.12482","http://doi.org/10.1111/avsc.12482"
"Catelotti, K; Bino, G; Offord, CA",2020,"Thermal germination niches of Persoonia species and projected spatiotemporal shifts under a changing climate","DIVERSITY AND DISTRIBUTIONS","10.1111/ddi.13040","http://doi.org/10.1111/ddi.13040"
"Wang, GD; Jiang, M; Wang, M; Xue, ZS",2020,"Element composition of soils to assess the success of wetland restoration","LAND DEGRADATION & DEVELOPMENT","10.1002/ldr.3561","http://doi.org/10.1002/ldr.3561"
