"rowID","studyID","Year","Lat_Deg","Lon_Deg","Country","Temp_mean","Temp_range","Prec_tot","Habitat_Current","Habitat_Target","Habitat_Broad","Habitat_Degraded","Biome_WWF","Biome_WWF_Broad","Biome_WWF_Zone","Experiment","Sample_Diameter_mm","Sample_Area_mm2","Sample_Depth_mm","Sample_Volume_mm3","Sample_Weight_g","Number_Sites","Samples_Per_Site","Total_Number_Samples","Method","Method_Volume_mm3","Method_Volume_Fraction","Method_Weight_g","Total_Seeds","Seed_density_m2","Seed_density_litre","Total_Species","Pos_Species","Neg_Species"
"AA001","M001",2019,43.2666666666667,11.4166666666667,"Italy",14.9283333333334,30.57,845.446,"Grassland",NA,"Grassland",0,"Mediterranean Forests, Woodlands and Scrub","Mediterranean Forests, Woodlands and Scrub","Mediterranean and Desert",NA,30,706.858347057703,50,35342.9173528852,NA,5,NA,180,"Emergence",NA,NA,NA,6,47.1570201753764,NA,3,NA,NA
"AA002","M001",2019,43.2666666666667,11.4166666666667,"Italy",14.9283333333334,30.57,845.446,"Grassland",NA,"Grassland",0,"Mediterranean Forests, Woodlands and Scrub","Mediterranean Forests, Woodlands and Scrub","Mediterranean and Desert",NA,30,706.858347057703,50,35342.9173528852,NA,5,NA,180,"Emergence",NA,NA,NA,35,275.082617689696,NA,10,NA,NA
"AA003","M001",2019,43.2666666666667,11.4166666666667,"Italy",14.9283333333334,30.57,845.446,"Grassland",NA,"Grassland",0,"Mediterranean Forests, Woodlands and Scrub","Mediterranean Forests, Woodlands and Scrub","Mediterranean and Desert",NA,30,706.858347057703,50,35342.9173528852,NA,5,NA,180,"Emergence",NA,NA,NA,86,675.917289180395,NA,20,NA,NA
"AA004","M001",2019,43.2666666666667,11.4166666666667,"Italy",14.9283333333334,30.57,845.446,"Grassland","Grassland","Grassland",1,"Mediterranean Forests, Woodlands and Scrub","Mediterranean Forests, Woodlands and Scrub","Mediterranean and Desert",NA,30,706.858347057703,50,35342.9173528852,NA,5,NA,120,"Emergence",NA,NA,NA,56,660.19828245527,NA,20,NA,NA
"AA005","C001",2019,37.35,100.066666666667,"China",-0.208333333333311,38.09,690.328,"Grassland",NA,"Grassland",0,"Montane Grasslands and Shrublands","Montane Grasslands and Shrublands","Mediterranean and Desert",1,NA,NA,150,NA,NA,6,NA,972,"Emergence",NA,NA,NA,11849,NA,NA,36,NA,NA
"AA006","G001",2019,37.8833333333333,118.933333333333,"China",13.7125,34.2,722.956,"Wetland",NA,"Wetland",0,"Flooded Grasslands and Savannas","Tropical and Subtropical Grasslands, Savannas and Shrublands","Temperate",NA,70,3848.4510006475,100,384845.10006475,NA,2,36,72,"Emergence",NA,NA,NA,434,1565,NA,23,NA,NA
"AA007","G002",2019,38.4333333333333,-122.716666666667,"United States",15.2533333333334,25.71,866.842,"Wetland",NA,"Wetland",0,"Mediterranean Forests, Woodlands and Scrub","Mediterranean Forests, Woodlands and Scrub","Mediterranean and Desert",NA,48,1809.55736846772,100,180955.736846772,NA,4,20,80,"Emergence",NA,NA,NA,4075,28149.1490060535,NA,69,NA,20
"AA008","O001",2019,7.26666666666667,5.03333333333333,"Nigeria",25.6275,12.01,1914.403,"Forest",NA,"Forest",0,"Tropical and Subtropical Moist Broadleaf Forests","Tropical and Subtropical Forests","Tropical",NA,NA,NA,30,NA,NA,1,15,15,"Emergence",NA,NA,NA,NA,71,NA,9,NA,NA
"AA009","M002",2020,-60.7166666666667,-45.6,"Antarctica",-3.36166666666664,12.33,1711.769,"Grassland",NA,"Grassland",0,"Tundra","Tundra","Tundra",NA,100,7853.98163397448,50,392699.081698724,NA,1,7,7,"Extraction",NA,NA,NA,0,0,NA,0,NA,NA
"AA010","R001",2019,-11.4,-77.3833333333333,"Peru",19.0641666666667,11.32,72.917,"Grassland",NA,"Grassland",0,"Deserts and Xeric Shrublands","Deserts and Xeric Shrublands","Mediterranean and Desert",NA,NA,10000,50,5e+05,NA,1,122,122,"Emergence",NA,NA,NA,NA,NA,NA,13,NA,NA
