PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Whittle, CA; Duchesne, LC; Needham, T				Whittle, CA; Duchesne, LC; Needham, T			Soil seed bank of a jack pine (Pinus banksiana) ecosystem	INTERNATIONAL JOURNAL OF WILDLAND FIRE												The soil seed bank (seed and vegetative propagules) of a jack pine (Pinus banksiana Lamb.) ecosystem was investigated using direct propagule emergence from soil cores in greenhouse experiments, and visual examination of rhizome/rooting systems in situ. Of the 985 emergents observed from soil cores 643 (65%) originated from seeds whereas 342 (35%) arose from rhizomes. Grasses and sedge comprised 89% of the seed emergents while shrubs comprised 75% of the vegetative emergents. In situ examination of root systems revealed that Linnaea borealis L., Carer houghtonii Torr., Gaultheria procumbens L., and Maianthemum canadense Desf. had rhizomes buried at or above the duff/mineral interface while Lycopodium obscurum L., Lycopodium complanatum L. and Pteridium aquilinum L. (Kuhn) were predominately buried within the upper- layers of mineral soil. All other vegetatively reproducing species examined, with the exception of Rubus alleghaniensis Porter, had rhizomes buried deeper than 25 cm into mineral soil. Rubus allegheniensis (reproductive roots) had no discrete area of burial and were located in duff, upper mineral, and deep mineral soil. Depth of burial of reproductive material is used to explain plant succession after disturbance.																	1049-8001	1448-5516				JUN	1998	8	2					67	71		10.1071/WF9980067							WOS:000074568300002						
J	Maranon, T				Maranon, T			Soil seed bank and community dynamics in an annual-dominated Mediterranean salt-marsh	JOURNAL OF VEGETATION SCIENCE												The seed bank in the soil and litter of an annual grassland in the upper salt marsh of the Guadalquivir delta (SW Spain) contained on average 49 110 seeds/m(2); 29 species were represented. Field censuses of the grassland, in two consecutive springs, yielded 7 410 and 9 520 plants/m(2) respectively. A combined Correspondence Analysis of the seed bank samples and field censuses showed differences in grassland composition between wet and dry years. The environmental changes induced different expressions of the soil seed bank, mediated by demographic processes. The effect of salinity (25 dS/m of NaCl) was studied on intact soil blocks transplanted to a greenhouse. Salinity did not affect the emergence of seedlings, but reduced the growth of the dominant species, Trisetaria panicea. The importance of the role of seed banks in community dynamics and their use for conservation management are discussed.				Maranon, Teodoro/K-6648-2014	Maranon, Teodoro/0000-0002-7751-9316												1100-9233					JUN	1998	9	3					371	378		10.2307/3237101							WOS:000076469400008						
J	Dzwonko, Z; Loster, S				Dzwonko, Z; Loster, S			Dynamics of species richness and composition in a limestone grassland restored after tree cutting	JOURNAL OF VEGETATION SCIENCE												After abandonment many limestone grasslands have been overgrown by trees and shrubs; as a result, species-rich communities with many regionally rare and endangered species are vanishing. Some studies suggest that, in cases where grassland is being restored, the species composition and rate of change is strongly dependent on the initial conditions, i.e. the earlier presence of grassland species and the opportunity for colonization of new sites by grassland species. These hypotheses were tested in a five-year restoration experiment after the clearing of a 35-yr-old secondary pine wood developed on abandoned grassland. Tree cutting induced rapid changes in the floristic composition and species cover. The number of grassland species from the class Festuco-Brometea increased significantly in the restored grassland, but their cover was much lower than in the old grassland. Canonical Correspondence Analysis showed significant differences in species composition between the grassland restored in former wood gaps and that developed in former closed wood In wood gap sites the cover of species from the class Molinio-Arrhenatheretea and tufted perennials was much higher, whereas the cover of Festuco-Brometea species was lower. Significantly more shrubs, woodland species, ruderal and nitrophilous species as well as annual and biennial species occurred in the former dosed wood site. It was found that richness and composition of the restored grassland depended strongly on the community composition before tree cutting, as well as on the presence of grassland species in the neighbourhood. Periodical tree cutting enables the maintenance of a temporal-spatial mosaic of scrub-grassland communities in isolated habitats and the preservation of local species diversity.																	1100-9233					JUN	1998	9	3					387	394		10.2307/3237103							WOS:000076469400010						
J	Erkkila, HMJB				Erkkila, HMJB			Seed banks of grazed and ungrazed Baltic seashore meadows	JOURNAL OF VEGETATION SCIENCE												The seed banks of three grazed and three ungrazed seashore meadows were studied on the west coast of Finland. 8486 seedlings (mean 13 669 seedlings/m(2)) germinated from cold-treated samples (n = 343; depth = 10 cm). Most seedlings and species were monocots and perennials. The seed bank flora included 54 dicots vs. 28 monocots and 66 perennials vs. 16 annuals. The most abundant species were Juncus gerardii, Schoenoplectus tabernaemontani, Eleocharis uniglumis, Agrostis stolonifera, Juncus bufonius and Carex nigra, which made up 73 % of the seed bank. Numbers of species and seedlings differed between elevation classes. Species richness was highest in elevation class 50 - 70 cm. The highest seed density occurred in class 20 - 50 cm. A model for size and species composition of the seed bank in relation to elevation is presented. The seed bank was larger and richer in species in the ungrazed than in the grazed sites, but not so in the upper elevations and closest to the open sea. Grazing reduced the size of the seed bank of Agrostis stolonifera, A. capillaris, Calamagrostis stricta, Elymus repens, Juncus bufonius, Limosella aquatica and Schoenoplectus tabernaemontani, but increased that of J. gerardii. 32 species germinated only from ungrazed samples and 11 species only from grazed ones. Multivariate classification resulted in nine sample groups. The ordination scatter was best explained by the flooding stress variables, elevation, the distance from the water line and the number of helophyte species in samples. 75 species were found both in the seed bank and in the vegetation, but there was a significant lack of resemblance (in the Mantel test) due to over-representation of some species. Eight species occurring only in the seed bank were mainly annuals or biennials (63 %); those occurring only in the established vegetation (86 species) were mainly perennials (86 %).					Jutila, Heli/0000-0002-0788-9653												1100-9233					JUN	1998	9	3					395	408									WOS:000076469400011						
J	Tyser, RW; Asebrook, JM; Potter, RW; Kurth, LL				Tyser, RW; Asebrook, JM; Potter, RW; Kurth, LL			Roadside revegetation in Glacier National Park, USA: Effects of herbicide and seeding treatments	RESTORATION ECOLOGY												From 1992 to 1995 we experimentally evaluated the effectiveness of several revegetation treatments along a segment of Going-to-the-Sun Highway in Glacier National Park, U.S.A. This segment, reconstructed during the spring and summer of 1992, is bordered by fescue prairie vegetation and is known to be susceptible to invasion by several alien species, including Centaurea maculosa (spotted knapweed) and Phleum pratense (common timothy). We used a split plot study design to evaluate the effectiveness of herbicide and seeding treatments on assisting recovery of native flora and limiting the establishment of alien species. The herbicide treatment consisted of a yearly herbicide spray application of clopyralid (3,6-dichloropicolinic acid). Five seeding treatments were evaluated, three of which included an indigenous graminoid-forb seed mix. Percent canopy coverages of four species groups-alien graminoids, native graminoids, alien forbs, and native forbs-were determined in July 1995. In addition, community-level patterns in sprayed plots and unsprayed plots were compared with a reference site of native fescue prairie. Herbicide treatments decreased mean canopy coverage of alien forbs (treated = 4.2%, untreated = 23.4%) and increased mean canopy coverage of native graminoids slightly (treated = 6.3%, untreated = 4.0%). But herbicide treatments reduced mean coverage of native forbs (treated = 3.9%, untreated = 8.9%) and likely increased coverage of alien graminoids. Treatments that included a fall 1992 seed mix increased native graminoid coverages 2.8-4.6 times, although coverages were still lower than those attained by alien graminoids. Native and alien forb coverage appeared unaffected by seeding treatments. Species composition was less diverse in sprayed plots and more dominated by alien grasses than in unsprayed plots and the reference site. Areas for additional study are suggested, including seed bank assays to determine treatment effects on recruitment of alien versus native species and the use of native graminoids to create low-diversity communities with high canopy coverages to resist establishment of alien species.																	1061-2971					JUN	1998	6	2					197	206		10.1046/j.1526-100X.1998.06211.x							WOS:000074270400009						
J	Cerdas, LV; Dufour, M; Villalobos, V				Cerdas, LV; Dufour, M; Villalobos, V			In vitro organogenesis in Albizia guachapele, Cedrella odorata and Swietenia macrophylla (Fabaceae, Meliaceae)	REVISTA DE BIOLOGIA TROPICAL												Regeneration of adventitious buds was achieved from hypocotyl explants of Albizia guachapele (Guayaquil) and Cedrella odorata (Spanish cedar), and from epicotyl explants from Swietenia macrophylla (Honduran Mahogany). Seeds were obtained from CATIE's Latin American Forest Seed Bank and germinated under aseptic conditions. Four explants were cultured in each Petri dish on half strength modified Murashige and Skoog basal medium, and five concentrations of BA (benzyladenine) were studied; A. guachapele and S. macrophylla responded positively to the presence of BA in the culture medium. Otherwise, Cedrella odorata required media supplemented with citokinin and auxin combinations to induce adventitious buds.																	0034-7744					JUN	1998	46	2					225	228									WOS:000078824100006						
J	Baptista, TL; Shumway, SW				Baptista, TL; Shumway, SW			A comparison of the seed banks of sand dunes with different disturbance histories on Cape Cod National Seashore	RHODORA												The seed bank compositions of four different coastal sand dunes on Cape Cod National Seashore (Massachusetts, USA) were characterized and used to predict the potential of seed banks in restoring species diversity in degraded sand dunes. Seedling emergence from sand collected from each site was observed over 15 weeks. A total of 254 seedlings emerged during the study. A single species, Artemisia caudata, was responsible for 85% of the total seedling emergence, and all but one of those seedlings was from a single study site. Overall, seedling emergence and the species diversity of seedlings was low, indicating a low density of seeds in the sand dune substrate. Seedlings emerged from only 20% of the sand samples, indicating that the distribution of seeds in the sand is tightly clustered. The lowest numbers of seedlings emerged from the most severely degraded site which had recently been replanted with Ammophila breviligulata (American Beachgrass). Potential reasons for this clumping of seedlings are discussed, including poor seed dispersal as a result of buried mature infructescences or as a result of wind deposition of seeds in small depressions. The results suggest that the existing seed bank is unlikely to lead to significant increases in species diversity at sites undergoing restoration. Consequently, the importation of sand and its associated seed bank from more mature sites is not a feasible means of restoring diversity because of the low density and species diversity of seeds in the sand at more stable sites.																	0035-4902					SUM	1998	100	903					298	313									WOS:000077157100005						
J	Hilhorst, HWM				Hilhorst, HWM			The regulation of secondary dormancy. The membrane hypothesis revisited	SEED SCIENCE RESEARCH												Secondary dormancy is predominantly associated with seed behaviour in soil seed banks. Periodic changes in secondary dormancy may explain seasonal emergence of weedy species. Temperature and possibly soil water potential appear to be the predominant factors that determine the annual cycling of dormancy. Dormancy cycling is paralleled by modulations of germination responsiveness to germination stimulants, such as light and nitrate and to the width of the germination temperature window. Membranes have been proposed to be the primary target for the perception of temperature. It is hypothesized that alterations In properties of cellular membranes are involved in the regulation of dormancy. Possible mechanisms are discussed.				Hilhorst, Henk/K-1658-2013	hilhorst, henk/0000-0002-6743-583X												0960-2585					JUN	1998	8	2					77	90		10.1017/S0960258500003974							WOS:000075551200001						
J	Le Page, C; Keddy, PA				Le Page, C; Keddy, PA			Reserves of buried seeds in beaver ponds	WETLANDS												Reserves of buried seeds are known to have an important role in the dynamics of plant communities. This is particularly so in wetlands, where periodic low water events are essential for plants to reestablish from seeds. In spite of the growing literature on reserves of buried seeds, little is known about this resource in beaver ponds. This study was designed to 1) document species found in beaver pond seed banks, 2) estimate their relative abundance, and 3) test whether the abundance and richness of seeds differ between young and old beaver ponds. Soil samples were collected from 14 beaver ponds in Gatineau Park (Quebec) in May 1995. Samples were spread out in plastic trays containing a sand and peat substrate and were placed in a growth chamber with fluctuating light and temperature regimes to stimulate germination. More than 2000 seedlings representing 42 species germinated from the various soil samples, yielding an estimated density of 2300 seedlings/m(2). Juncus effusus (426 seeds/m(2)), Leersia oryzoides (390 seeds/m(2)), Scirpus cyperinus (246seeds/m(2)), Juncus brevicaudatus (170 seeds/m2), and Ludwiga palustris (98 seeds/m(2)) were the 5 most abundant species. The abundance and richness of germinating seeds did not differ significantly between young and old beaver ponds.																	0277-5212					JUN	1998	18	2					242	248		10.1007/BF03161659							WOS:000074269500007						
J	Schutz, W				Schutz, W			Seed dormancy cycles and germination phenologies in sedges (Carex) from various habitats	WETLANDS												Seeds (nutlets) of four temperate-zone perennial Carer species from various habitats and with different growth forms were investigated to identify seasonal germination patterns. In the first experiment, freshly matured seeds were sown in summer 1994 on the soil surface and at a depth of 1 cm at a sun-exposed site and under a leaf canopy in an experimental garden. In the second experiment, seeds were exhumed after various periods of burial (7-cm depth) for up to 30 months and tested for germination in bath light and darkness at 15 degrees, 25 degrees, and 22/10 degrees C. In the first experiment, freshly-matured seeds of the four sedges did not germinate during summer or autumn 1994. Almost all surface-sown seeds of the four species germinated from late spring to summer in 1995 at the sun-exposed site. Most buried seeds of three species germinated in the soil, but germinants died prior to emergence. In Carex flacca, however, about 50% of the buried seeds germinated and emerged until 1997, and the ungerminated seeds remained viable. At the shaded site, seeds of C acutiformis. and C. flacca did not germinate, whereas a small percentage of the buried and surface-sown seeds of C. arenaria and C. extensa emerged in the second year. Seeds of C. acutiformis and C. flacca were dormant, and those of C. arenaria and C. extensa were conditionally dormant at the beginning of the second experiment. All four species had annual dormancy cycles at 22/10 degrees C in light and in darkness and at 25 degrees and 15 degrees in light. Seeds came out of dormancy in late autumn or winter and re-entered dormancy or conditional dormancy in late spring or early summer. Very few seeds of any of the four species germinated at constant temperatures in darkness. No seeds germinated during burial in soil at a depth of 7 cm. These field germination patterns indicate that the four sedges have the potential to form a persistent seed bank but that losses due to germination in the seed bank are dependent on temperature amplitudes, mean temperatures, and red:far red ratios under a leaf canopy.																	0277-5212					JUN	1998	18	2					288	297		10.1007/BF03161664							WOS:000074269500012						
