PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Egawa, C; Tsuyuzaki, S				Egawa, Chika; Tsuyuzaki, Shiro			The effects of litter accumulation through succession on seed bank formation for small- and large-seeded species	JOURNAL OF VEGETATION SCIENCE												QuestionsHow does litter accumulation through succession affect secondary seed dispersal and buried seed viability and consequently control seed bank formation for small- and large-seeded species? LocationA post-mined peatland in northern Japan (45 degrees 06N, 141 degrees 42E) where the chronological sequence of plant community succession is known. MethodsThe movements of seeds after reaching the ground surface and the availability of viable seeds potentially contributing to seed bank formation at various depths were experimentally investigated for 1yr in four species that produce different-sized seeds: Drosera rotundifolia (seed mass 0.01mg), Lobelia sessilifolia (0.25mg), Rhynchospora alba (0.87mg) and Moliniopsis japonica (1.82mg). The experiments were conducted in three successional stages with 0-, 4- and 9-cm thick litter layers. ResultsSeed emigration decreased and seed retention increased with an increase in litter thickness. Large seeds were retained within the litter throughout the experimental period, and fewer seeds were buried in peat compared to small seeds trapped by thick litter, which had shifted downward by the following early spring. Litter contributed to increasing the number of viable and ungerminated seeds. The number of viable seeds for all species was nearly zero on the bare peat surface. The numbers of viable seeds on and beneath the peat surface increased with increases in litter cover thickness. ConclusionsThe patterns of secondary seed dispersal and the availability of viable seeds were altered by litter accumulation through the progress of succession. Moreover, the effects of litter on seeds varied among species for which seed size differed. Overall, our results suggest that temporal changes in litter thickness through the progress of succession can play an important role in seed bank formation, which has potential impacts on the long-term dynamics of plant populations and the whole community.				Egawa, Chika/B-8085-2014; Tsuyuzaki, Shiro/F-9090-2012	Tsuyuzaki, Shiro/0000-0003-3010-8699												1100-9233	1654-1103				NOV	2013	24	6					1062	1073		10.1111/jvs.12037							WOS:000325370200011						
J	Nevill, PG; Wallace, MJ; Miller, JT; Krauss, SL				Nevill, Paul G.; Wallace, Mark J.; Miller, Joseph T.; Krauss, Siegfried L.			DNA barcoding for conservation, seed banking and ecological restoration of Acacia in the Midwest of Western Australia	MOLECULAR ECOLOGY RESOURCES												We used DNA barcoding to address an important conservation issue in the Midwest of Western Australia, working on Australia's largest genus of flowering plant. We tested whether or not currently recommended plant DNA barcoding regions (matK and rbcL) were able to discriminate Acacia taxa of varying phylogenetic distances, and ultimately identify an ambiguously labelled seed collection from a mine-site restoration project. Although matK successfully identified the unknown seed as the rare and conservation priority listed A. karina, and was able to resolve six of the eleven study species, this region was difficult to amplify and sequence. In contrast, rbcL was straightforward to recover and align, but could not determine the origin of the seed and only resolved 3 of the 11 species. Other chloroplast regions (rpl32-trnL, psbA-trnH, trnL-F and trnK) had mixed success resolving the studied taxa. In general, species were better resolved in multilocus data sets compared to single-locus data sets. We recommend using the formal barcoding regions supplemented with data from other plastid regions, particularly rpl32-trnL, for barcoding in Acacia. Our study demonstrates the novel use of DNA barcoding for seed identification and illustrates the practical potential of DNA barcoding for the growing discipline of restoration ecology.				Krauss, Siegy/C-2211-2011; Miller, Joe/D-2729-2009; Miller, Joseph T./M-2693-2016	Krauss, Siegy/0000-0002-7280-6324; Miller, Joseph T./0000-0002-5788-9010; Nevill, Paul/0000-0001-8238-0534												1755-098X	1755-0998				NOV	2013	13	6			SI		1033	1042		10.1111/1755-0998.12060							WOS:000325627700007	23433106					
J	Ge, XL; Wang, RQ; Zhang, YR; Song, BM; Liu, J				Ge, Xiuli; Wang, Renqing; Zhang, Yiran; Song, Baimin; Liu, Jian			The soil seed banks of typical communities in wetlands converted from farmlands by different restoration methods in Nansi Lake, China	ECOLOGICAL ENGINEERING												Converting farmlands into wetlands is a widely used restoration engineering technique in China. To elucidate the ecological succession in restored wetlands, the background characteristics and the effects of the restoration method on seed banks should be analyzed. On the basis of seedling emergence method, we examined the seed banks of typical plant communities in wetlands that were converted from farmlands from the mouth of the Xinxue River to the Nansi Lake in China. The effects of the restoration methods on the seed banks of the typical communities were analyzed over three seasons. Results show that 43 species exist in the germinable seed banks of the wetlands converted from farmlands in the Nansi Lake area. The average seed density is 2822 seed/m(2) (0-12,499 seed/m(2)), and some species have persistent seed banks. Species abundance and seed density vary among different communities. The Populus nigra community has the most abundant species in the seed bank, followed by the Phragmites australis, Potamogeton crispus, and Nelumbo nucifera communities. The restoration method, season, community type, and their interaction are found to exert varying effects on the characteristics of the seed bank. Findings suggest the presence of a particular quantity of seed reserves in the seed banks of the wetlands; i. e., certain species with persistent seed banks can be used to restore wetland vegetation. Restoration methods significantly influence different seed banks. The restoration mechanism might be attributed to the differences in seed resource and seed loss. The diverse strategies of propagation by various species and the emerging characteristics lead to the differences among the seed banks of different communities and the seed banks in different seasons. Thus, the effects of the restoration method on the soil seed banks in the restoration of wetland vegetation need further investigation. c 2013 Elsevier B. V. All rights reserved.																	0925-8574	1872-6992				NOV	2013	60						108	115		10.1016/j.ecoleng.2013.07.044							WOS:000326239700015						
J	Sun, ZY; Ren, H; Schaefer, V; Lu, HF; Wang, J; Li, LJ; Liu, N				Sun, Zhongyu; Ren, Hai; Schaefer, Valentin; Lu, Hongfang; Wang, Jun; Li, Linjun; Liu, Nan			Quantifying ecological memory during forest succession: A case study from lower subtropical forest ecosystems in South China	ECOLOGICAL INDICATORS												The concept of ecological memory provides a new perspective for research on forest succession by including historical factors and the initial state of ecological processes. However, there are still significant gaps between the concept and its application. We selected nine proxy indicators (plant species, soil seed banks, soil microbes, soil animals, birds, soil age, soil pollen, soil mineral distribution, and light environment) and developed a method to quantify ecological memory and succession in a subtropical forest succession in South China. Taking the climax-monsoon evergreen broad-leaved forest as the reference ecosystem, we found that ecological memory increased nonlinearly and accumulated following a specific assembly rule during succession. Memory concerning major soil microbes and soil animals, which improve the soil substrate, mainly accumulated from the initial to the early successional stage. Memory concerning the number of bird species and the availability of light, which ensure a source of regenerative seeds and the survival of understory seedlings, mainly accumulated from the early to middle successional stages. Memory concerning vegetation and soil seed banks mainly accumulated late in succession, guaranteeing that the ecosystem would reach the regional climax stage. Prospective memory was greater than retrospective memory in every successional stage except the late stage, which indicated that all stages but the late stage were undergoing progressive succession. Our study demonstrates that the concept of ecological memory and the proposed evaluation framework are useful for guiding research on succession and restoration, and especially for assessing how "far" a restored ecosystem is from a reference ecosystem or how far a restored ecosystem has deviated from its natural succession trajectory. (C) 2013 Elsevier Ltd. All rights reserved.																	1470-160X	1872-7034				NOV	2013	34						192	203		10.1016/j.ecolind.2013.05.010							WOS:000323860700022						
J	Calvo, L; Garcia-Dominguez, C; Naranjo, A; Arevalo, JR				Calvo, Leonor; Garcia-Dominguez, Celia; Naranjo, Agustin; Arevalo, Jose R.			Effects of light/darkness, thermal shocks and inhibitory components on germination of Pinus canariensis, Pinus halepensis and Pinus pinea	EUROPEAN JOURNAL OF FOREST RESEARCH												Knowledge of the germination characteristics of Pinus species can help in the understanding, prediction and management of the regeneration of pine forests. In the Canary Islands, several exotic pines (Pinus halepensis L. and Pinus pinea L.) were planted with Pinus canariensis Chr. Sm. Ex DC, the only native pine species, and there is now an interest in controlling these exotic species to restore the original forest. The main objective of the present study is to determine the germination response of P. canariensis, P. halepensis and P. pinea to different light regimes (darkness and light/darkness), thermal shocks and the presence of inhibitory substances from the leaves and litter of P. canariensis. P. halepensis seeds showed the highest viability and germination rate. Darkness accelerated P. halepensis germination, while exudates accelerated P. canariensis germination. Only treatments of 200 A degrees C for 5 min and 300 A degrees C for 5 min significantly decreased the germination of all three pine species. In the absence of strong differences in germination among species after treatments, the key for fire management or prescribed burning in this case may be the sprouting ability of P. canariensis. A possible management strategy to control the two obligate seeder exotic species could be to use one intense prescribed fire followed by a low-intensity prescribed fire after seed bank germination in the field, so in this way, only P. canariensis could resprout after fire and it would eliminate only the exotic pines in a mixed stand.				Arevalo, Jose R./C-6611-2014; CALVO, Leonor/K-9942-2014	Arevalo, Jose R./0000-0003-2152-5212; CALVO, Leonor/0000-0003-3710-0817												1612-4669	1612-4677				NOV	2013	132	5-6					909	917		10.1007/s10342-013-0729-7							WOS:000327075800022						
J	Lippok, D; Walter, F; Hensen, I; Beck, SG; Schleuning, M				Lippok, Denis; Walter, Florian; Hensen, Isabell; Beck, Stephan G.; Schleuning, Matthias			Effects of disturbance and altitude on soil seed banks of tropical montane forests	JOURNAL OF TROPICAL ECOLOGY												Vast areas of tropical forests have been deforested by human activities, resulting in landscapes comprising forest fragments in matrices of deforested habitats. Soil seed banks (SSB) are essential sources for the regeneration of tropical forests after disturbance. In a fragmented montane landscape in the Bolivian Andes, we investigated SSB in three different habitat types that were associated with different degrees of disturbance, i.e. in forest interior, at forest edges and in deforested habitats. Sampling of habitats was replicated at six sites ranging in altitude from 1950 to 2450 m asl. We extracted seeds from dried soil samples by sieving, classified seeds into morphospecies and size classes, and characterized SSB in terms of density, species richness and composition. We tested effects of disturbance (i.e. habitat type) and altitude on SSB characteristics. Overall, small seeds (<1 mm) dominated SSB (81% of sampled seeds). Seed density and species richness were lowest in deforested habitats, especially in large seeds and distant from adjacent forests (>= 20 m), while small-seeded species were most numerous near forest margins. Species turnover between habitats was high. Altitude altered the composition of SSB, but had no effects on seed density and species richness. We conclude that the potential of SSB for natural regeneration of deforested habitats is low and decreases with increasing distance from forest remnants and that forest edges may be eventually invaded by small-seeded species from deforested habitats.				Schleuning, Matthias/H-2154-2015	Schleuning, Matthias/0000-0001-9426-045X												0266-4674	1469-7831				NOV	2013	29		6				523	529		10.1017/S0266467413000667							WOS:000330474700006						
J	Espinosa, CI; Luzuriaga, AL; de la Cruz, M; Montero, M; Escudero, A				Espinosa, Carlos I.; Luzuriaga, Arantzazu L.; de la Cruz, Marcelino; Montero, Marianne; Escudero, Adrian			Co-occurring grazing and climate stressors have different effects on the total seed bank when compared to the persistent seed bank	JOURNAL OF VEGETATION SCIENCE												Questions(1) Does climate amelioration in semi-arid ecosystems increase seed bank richness and seed density in both total and persistent seed banks? (2) Does herbivory modulate climate effects on soil seed banks? (3) Is this effect mediated by changes in the above-ground vegetation? (4) To what extent do environmental conditions affect similarity between the total and persistent seed banks, and between above-ground (vegetation) vs below-ground (seed bank) community compartments? LocationEcuadorian Dry Mountain Scrub Ecosystem. MethodsOur study was conducted along a climatic gradient (altitude) under two different management conditions: undisturbed and grazed. The effect of grazing, altitude and their interaction on seed abundance and richness of the total and persistent soil seed banks were evaluated with non-linear mixed models. ResultsAltitude, grazing and their interaction exerted a significant effect on richness and abundance of the total seed bank, but not on the persistent seed bank. At highly stressful climate conditions, differences in species richness between the total and persistent seed banks were small or absent, while at milder environmental conditions the total seed bank showed greater seed species richness and abundance than the persistent one. However, under grazing conditions, species richness in both seed banks was rather similar along the climatic gradient. Relationships in terms of species richness between above-ground vs below-ground compartments, shifted from being dominated by the above-ground component at low altitudes (more stress) to being dominated by the seed bank component at higher elevations (milder conditions). In grazed locations, vegetation and seed bank showed similar species richness throughout the altitudinal gradient. ConclusionsThis study demonstrates that not only climate acted as a key environmental filter on soil seed bank properties, but also that grazing greatly modulated the primary effect of climate. Nevertheless, the effect of climate and grazing was restricted to the total seed bank (the fertility compartment) and no effect was observed in the persistent seed bank (longevity compartment). In this tropical dry scrub, richness and abundance of seeds increased upwards along the altitudinal gradient, most likely because at higher altitudes environmental conditions improve and become more benign for plant development.				Luzuriaga, Aran/A-3734-2009; Espinosa, Carlos Ivan/AAI-1305-2019; de la Cruz, Marcelino/M-6124-2015; Escudero, Adrian/H-5046-2015	Luzuriaga, Aran/0000-0001-5023-7813; Espinosa, Carlos Ivan/0000-0002-5330-4505; de la Cruz, Marcelino/0000-0002-9080-4525; Escudero, Adrian/0000-0002-1427-5465												1100-9233	1654-1103				NOV	2013	24	6					1098	1107		10.1111/jvs.12043							WOS:000325370200014						
J	Xin, X; Wan, YL; Wang, WJ; Yin, GK; McLamore, ES; Lu, XX				Xin, Xia; Wan, Yinglang; Wang, Wenjun; Yin, Guangkun; McLamore, Eric S.; Lu, Xinxiong			A real-time, non-invasive, micro-optrode technique for detecting seed viability by using oxygen influx	SCIENTIFIC REPORTS												Quantifying seed viability is required for seed bank maintenance. The classical methods for detecting seed viability are time consuming and frequently cause seed damage and unwanted germination. We have established a novel micro-optrode technique (MOT) to measure seed viability in a quick and non-invasive manner by measuring the oxygen influxes of intact seeds, approximately 10 seconds to screen one seed. Here, we used soybean, wheat, and oilseed rape as models to test our method. After 3-hour imbibition, oxygen influxes were recorded in real-time with the total measurement taking less than 5 minutes. The results indicated a significantly positive correlation between oxygen influxes and viability in all 3 seed types. We also established a linear equation between oxygen influxes and seed viability for each seed type. For measurements, seeds were kept in the early imbibition stage without germination. Thus, MOT is a reliable, quick, and low-cost seed viability detecting technique.				McLamore, Eric S/H-3441-2011	McLamore, Eric S/0000-0002-1662-7372												2045-2322					OCT 28	2013	3								3057	10.1038/srep03057							WOS:000326329500003	24162185					
J	Gairola, S; Mahmoud, T; Bhatt, A; El-Keblawy, AA				Gairola, Sanjay; Mahmoud, Tamer; Bhatt, Arvind; El-Keblawy, Ali A.			Importance of seed banking and herbarium collections in biodiversity conservation and research: a new initiative in the United Arab Emirates	CURRENT SCIENCE																	El-Keblawy, Ali/0000-0003-4448-6236												0011-3891					OCT 25	2013	105	8					1048	1050									WOS:000327053200013						
J	Beas, BJ; Smith, LM; LaGrange, TG; Stutheit, R				Beas, Benjamin J.; Smith, Loren M.; LaGrange, Theodore G.; Stutheit, Randy			Effects of sediment removal on vegetation communities in Rainwater Basin playa wetlands	JOURNAL OF ENVIRONMENTAL MANAGEMENT												Sedimentation from cultivated agricultural land use has altered the natural hydrologic regimes of depressional wetlands in the Great Plains. These alterations can negatively affect native wetland plant communities. Our objective was to determine if restored wetlands are developing plant communities similar to reference wetland conditions following hydrologic restoration. For this study, hydrology was restored via sediment removal. Thirty-four playa wetlands in reference, restored, and agricultural condition within the Rainwater Basin Region of Nebraska were sampled in 2008 and 2009. In 2008, reference and restored wetlands had higher species richness and more native, annual, and perennial species than agricultural wetlands. Restored wetlands had similar exotic species richness compared to reference and agricultural wetlands; however, reference wetlands contained more than agricultural wetlands. Restored wetlands proportion of exotics was 3.5 and 2 times less than agricultural wetlands and reference wetlands respectively. In 2009, reference and restored wetlands had higher species richness, more perennial species, and more native species than agricultural wetlands. Restored wetlands contained a greater number and proportion of annuals than reference and agricultural wetlands. Canonical Correspondence Analysis showed that reference, restored, and agricultural wetlands are dominated by different plant species and guilds. Restored wetland plant communities do not appear to be acting as intermediates between reference and agricultural wetland conditions or on a trajectory to reach reference conditions. This may be attributed to differing seed bank communities between reference and restored wetlands, dispersal limitations of perennial plant guilds associated with reference wetland conditions, and/or management activities may be preventing restored wetlands from reaching reference status. (C) 2013 Elsevier Ltd. All rights reserved.																	0301-4797	1095-8630				OCT 15	2013	128						371	379		10.1016/j.jenvman.2013.04.063							WOS:000326203400042	23786876					
