PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Fowler, SP; Larson, KC				Fowler, SP; Larson, KC			Seed germination and seedling, recruitment of Japanese honeysuckle in a Central Arkansas natural area	NATURAL AREAS JOURNAL												Nonindigenous plant species are an increasingly common problem in natural areas and effective management of invasive plants depends in part on accurate information about the life history of the invading species. The negative impact of Lonicera japonica, Japanese honeysuckle, on native plant communities is well known, as is this species capacity for prolific vegetative spreading by trailing stems. Surprisingly, despite being known for impressive floral displays, the capacity of L. japonica for establishment by seed is not known. We found that natural seedling recruitment rate in a L. japonica invaded state park in central Arkansas was only 0.002 seedlings per m(2) germinating and surviving one year. Results from experimental seed sowings indicated that germination of L. japonica seeds was patchy, but not significantly different in a shady forest interior and a sunnier forest edge, or impacted by predation or ground cover. Overall, 13.8% of the 2400 seeds sowed germinated from early spring to summer during the first year; no seeds germinated from the experimental plots the following spring, indicating no evidence of a seed bank in our study. Of the seeds that germinated, 14.4% survived one year in the forest interior, while no seedlings survived one year at the forest edge.																	0885-8608	2162-4399				FEB	2004	24	1					49	53									WOS:000189318300007						
J	Urretavizcaya, MF; Defosse, GE				Urretavizcaya, MF; Defosse, GE			Soil seed bank of Austrocedrus chilensis (D. Don) Pic. Serm. et Bizarri related to different degrees of fire disturbance in two sites of southern Patagonia, Argentina	FOREST ECOLOGY AND MANAGEMENT												Austrocedrus chilensis (D. Don) Pic. Serm. and Bizarri, called locally "cypress" is among the most important native tree species that compose the temperate Subantarctic forests of Patagonia in Argentina. Cypress grows in either humid, mesic or dry sites, being fire the most important natural disturbance affecting these forests. Regeneration of cypress in burned areas is very slow, and may depend on a series of environmental and biotic factors, among which the availability of seeds could be extremely important. In this study, the dynamics of cypress soil seed bank was determined in two sites of its southern distribution area (Trevelin, 43degrees12'S, 71degrees31'W, and El Bolson 41degrees59'S, 71degrees33'W), and for three levels of fire disturbance (treatments): undisturbed (UN); partially burned (PB) and completely burned (CB). For about two growing seasons and at tri-monthly intervals, soil seed bank was measured by both direct and indirect methods. In the direct method, seeds were visually classified in apparently viable seeds (AVS) and apparently non-viable seeds (ANVS). The indirect method implied germination of seeds in a germination chamber after being stored to mimic natural conditions and break dormancy. For both study sites and all dates, the UN treatment showed significantly higher (P-*** < 0.001) seed numbers than the other two (PB and CB). Before the autumn seed rain, all seeds were classified as ANVS and did not germinate. After that seed rain, a high proportion of seeds appeared to be AVS in both sites, showing a similar trend for all treatments, although in dissimilar numbers (UN > PB > CB). The number of AVS steadily diminished during winter and spring, to practically disappear at the beginning of the summer, coinciding with the results obtained with the germination method. This behaviour confirms that cypress has a transient type of soil seed bank, and that the size of this soil seed bank is greatly influenced by the degree of fire disturbance. The amount of AVS that reached the soil at any particular site, however, might also be conditioned by several insects that parasite seeds before the seed rain. The transient soil seed bank and the low seed density found in PB and CB areas appears as important constraints for cypress regeneration. (C) 2003 Elsevier B.V. All rights reserved.																	0378-1127	1872-7042				JAN 23	2004	187	2-3					361	372		10.1016/j.foreco.2003.07.001							WOS:000187914900017						
J	Czarnecka, J				Czarnecka, J			Microspatial structure of the seed bank of xerothermic grassland - Intracommunity differentiation	ACTA SOCIETATIS BOTANICORUM POLONIAE												The study analyses the quantity and spatial structure of the seed bank of the xerothermic grassland located in the Biala Gora near Tomaszow Lubelski (Central Roztocze Region). The seed stock of the bank was compared with the vegetation found in two different patches of the examined grassland. The number of seeds per square meter was estimated at 5328 and 5355, depending on the patch. The seed bank's spatial organisation is clustered. The most important factors determining this spatial distribution are: remaining of the seeds in close vicinity of parent plants, and the "group" dispersal of the seeds and fruits.																	0001-6977	2083-9480					2004	73	2					155	164									WOS:000222254500009						
J	Arroyo, MTK; Cavieres, LA; Humana, AM				Arroyo, MTK; Cavieres, LA; Humana, AM			Experimental evidence of potential for persistent seed bank formation at a subantarctic alpine site in Tierra del Fuego, Chile	ANNALS OF THE MISSOURI BOTANICAL GARDEN												Seed burial experiments were conducted for 15 alpine species derived from 15 genera and 12 plant families from a subantarctic location on Cerro Rinon, Tierra del Fuego, 54degreesS, Chile. Batches of seed buried at 5 cm depth at 550 m elevation in February 1996 were exhumed after 335, 363, and 755 days, and their status and viability determined. Thirteen species (87%), one marginally (Acaena magellanica, Anemone multifida, Azorella lycopodioides, Bolax gummifera, Calceolaria biflora, Caltha appendiculata, Draba magellanica, Empetrum rubrum, Gentianella magellanica, Gunnera magellanica, Luzula alopecurus, Oremomyrrhis hookeri (marginal), Pernettya pumila), were judged as having potential to form a persistent soil seed bank, while two (Senecio magellanicus, Berberis buxifolia) only showed evidence of a transient seed bank. Seed viability in residual intact seeds was high and showed little tendency to diminish over the two-year experimental period, indicating optimal conditions for seed survival in the alpine soil. Fits of the number of remaining viable seeds at each exhumation date to the negative exponential model gave maximum seed longevity estimates of 1623 days in Draba magellanica, 2779 days in Empetrum rubrum, 3026 days in Gunnera magellanica, 777 days in Oreomyrrhis hookeri, and 5983 days in Pernettya pumila. Estimated seed longevities for some species at the subantarctic alpine site are among the highest reported for alpine species to date.				Cavieres, Lohengrin/A-9542-2010	Cavieres, Lohengrin/0000-0001-9122-3020												0026-6493	2162-4372					2004	91	2					357	365									WOS:000222704400009						
J	Tierney, DA				Tierney, DA			Towards an understanding of population change for the long-lived resprouting tree Angophora inopina (Myrtaceae)	AUSTRALIAN JOURNAL OF BOTANY												In fire-prone habitats some long-lived tree species appear resilient to fire. However, fire frequency may affect recruitment patterns. This study investigates the reproductive features of the long-lived tree species Angophora inopina Hill in recognised priority conservation areas with a high fire frequency. Plants exhibit high survival rates when burnt and respond to fire events with high rates of growth, flowering and seed set. Aged capsules on plants contain few seeds but released seeds germinate readily, suggesting high viability, low dormancy and limited seed storage in aerial or soil seed banks. Population modelling indicates that the species will be resilient to low recruitment levels in the short term. However, over the long term, population structure is significant in determining the ability of the population to respond to recruitment cues. Thus, understanding and monitoring population structural change is a priority for this species.					Tierney, David/0000-0002-2876-2774												0067-1924	1444-9862					2004	52	1					31	38		10.1071/BT03058							WOS:000188937500004						
J	Bell, DM; Clarke, PJ				Bell, DM; Clarke, PJ			Seed-bank dynamics of Eleocharis: can spatial and temporal variability explain habitat segregation?	AUSTRALIAN JOURNAL OF BOTANY												Four Eleocharis species exhibit habitat partitioning in both extant vegetation and in the soil seed bank of upland temporary wetlands on the Northern Tablelands of New South Wales. Explanations for this partitioning were sought in seed-bank dynamics at three shore levels in two wetlands. Habitat partitioning ( zonation) was explained in part by seedling recruitment but not by either persistence of seeds in the soil or by dormancy patterns. All four species recruited at wetland edges but only the deepwater species, Eleocharis sphacelata, recruited in deeper water. Viability of buried seeds was consistently high and species had very low decay rates and half-lives greater than 50 years. Two types of dormancy patterns with burial were shown. Most seeds of Eleocharis sphacelata and E. pusilla were non-dormant after a 3-month burial, whereas for E. acuta and E. dietrichiana seed germination percentages gradually increased over a number of years. These two dormancy patterns may contribute to coexistence, since coexistence is enhanced by a long-lived resistant phase in the life history of species and by temporal variability in germination. There were also spatial inconsistencies in patterns of dormant fractions. Burial in the deeper zones of the marsh-like Billybung Lagoon had an inhibitory effect both on germinability and on germination rates of E. acuta and E. dietrichiana seeds. All but E. acuta showed some degree of seasonal dormancy, but this pattern was also not consistent in space. Explanations for zonation should concentrate on other life-history phases, such as dispersal and seedling survival.				Clarke, Peter/D-6403-2012													0067-1924						2004	52	1					119	131		10.1071/BT03024							WOS:000188937500013						
J	Ekeleme, F; Chikoye, D; Akobundu, IO				Ekeleme, F; Chikoye, D; Akobundu, IO			Changes in size and composition of weed communities during planted and natural fallows	BASIC AND APPLIED ECOLOGY												The use of trees and herbaceous cover crops for weed management in smallholder farms is a promising alternative to the unsustainable traditional shifting cultivation system. The reported experiment was conducted from 1993 to 1996 in fallow plots established in 1989 to rehabilitate a degraded Alfisol after 10 years of continuous cultivation of maize/cassava. Treatments consisted of four plots each of woody legume species (Acacia auriculiformis, A. leptocarpa, Leucaena leucocephala, and Senna siamea), and a herbaceous legume cover crop (Pueraria phaseoloides). Two controls (natural bush fallow and continuous maize/cassava) were included. Each treatment was cleared and cultivated in 1993 and 1995 (after 4 and 6 year fallow). Cultivation was repeated in 1994 for plots cleared in 1993 and in 1996 for subplots cleared in 1995. In all the years, weed density and dry weight was lower in planted fallows than in the controls. Per capita weed population growth rate decreased in all the fallow treatments most notably in A. auriculiformis and S. siamea fallow. All fallow species except A. auriculiformis would require more than 6 years of fallow to prevent growth of the weed population over the long term. The weed seed bank was 75% lower in A. auriculiformis and P. phaseoloides fallow than the control plots. Canonical correspondence and redundancy analysis indicated differences in species composition between treatments in the aboveground weed flora and in the weed seed bank. Cynodon dactylon and Digitaria horizontalis dominated continuously cultivated maize/cassava plots. Chromolaena odorata occurred more in natural bush fallow. In contrast, annual broadleaf weeds dominated the planted fallow treatments.																	1439-1791	1618-0089					2004	5	1					25	33		10.1078/1439-1791-00186							WOS:000220195400004						
J	Volis, S; Mendlinger, S; Ward, D				Volis, S; Mendlinger, S; Ward, D			Demography and role of the seed bank in Mediterranean and desert populations of wild barley	BASIC AND APPLIED ECOLOGY												We compared the demography of two populations of wild barley, Hordeum spontaneum, that occupy environments of different aridity (desert and Mediterranean) and represent distinct parts of the species' distribution (periphery and core) in Israel. Our demographic study included a survey of survival and fecundity of adults in quadrate plots marked at two sites in natural vegetation (one site per population), and the creation of experimental seed banks examined over three years. We measured variability in population growth rate and investigated the role of the seed bank in the demography of two populations. The latter employed construction of two-stage, three age-class transition matrices and usage of elasticity analysis. At both sites, population dynamics appear to be transient with high fluctuations of population growth rate due to variability in annual rainfall and, most likely, intra- and inter-specific density dependence. The importance of the seed bank differed among two populations. Seed dormancy had almost no demographic effect on the Mediterranean population, while it was of paramount importance in the desert population. The two populations also differed in seed and seedling survival and per adult fecundity, presumably due to the difference between two sites in (i) relative impact of seed predation, (ii) effects of density dependence on population demography, and (iii) lower vigor of seeds of desert vs. Mediterranean origin. Our study highlights the importance of life history adaptations that may evolve under specific selective forces in different parts of a species' range, which, in certain circumstances, may be critical for the persistence of a species.				Ward, David/E-9814-2010													1439-1791						2004	5	1					53	64		10.1078/1439-1791-00192							WOS:000220195400007						
J	Tracy, BF; Renne, IJ; Gerrish, J; Sanderson, MA				Tracy, BF; Renne, IJ; Gerrish, J; Sanderson, MA			Effects of plant diversity on invasion of weed species in experimental pasture communities	BASIC AND APPLIED ECOLOGY												Studies have shown that weed invasion into grasslands may be suppressed if the resident plant community is sufficiently diverse. The objective of this study was to determine whether increased forage plant diversity in grazed pasture communities might be associated with reduced weed abundance both in the aboveground vegetation and soil seed bank. Data were collected from a pasture experiment established in 1994 in Missouri, USA. The experiment consisted of 15 m x 15 m plots sown with Festuca arundinacea Schreb. or Bromus inermis Leysser as a base species in mixtures of 1, 2, 3, 6, or 8 forage species. The plots were grazed by cattle during each growing season from 1998 to 2002. Aboveground plant species composition in each plot was measured using a point step method. Soil cores were collected in 1999 and 2002, and the species composition of germinable weed seeds in plots were evaluated by identifying seedlings as they germinated over an 8-week period. Species diversity was measured using several indices: species richness (S), Shannon-Wiener diversity index (H'), and forage species evenness (J). Aboveground weed abundance in plots was unrelated to forage species richness (S), but weed abundance declined as the evenness (J) of resident forage species increased in mixtures. The species composition of mixtures may have affected weed abundance. Weeds both in the soil seed bank and aboveground vegetation were less abundant in mixtures that contained F. arundinacea compared with mixtures that contained B. inermis. Although variables like forage plant productivity may also suppress weed abundance in pastures, our resuits suggest that maintaining an evenly distributed mixture of forage species may help suppress weeds as well. (C) 2004 Elsevier GmbH. All rights reserved.																	1439-1791						2004	5	6					543	550		10.1016/j.baae.2004.08.007							WOS:000226824700007						
J	Devlaeminck, R; Bossuyt, B; Hermy, M				Devlaeminck, R; Bossuyt, B; Hermy, M			The effect of sampling period on results of seedling germination experiments in cropland and forests	BELGIAN JOURNAL OF BOTANY												Because the germination of seeds shows a strong seasonal periodicity it can be expected that timing of seed bank sampling has a significant effect on the number and composition of emerging seedlings. To determine the influence of time of sampling on seedling emergence, we compared the composition and characteristics of seed bank samples collected during March and September. We sampled two extreme habitats in terms of dynamics (ancient deciduous forest and intensive arable field). Spring samples produced markedly more seedlings indicating the importance of a chilling period for germination of the majority of species. This was especially noticed for trample and pioneer species while less stringent for forest and shrub species. Presumably, seed size explains why these species germinate in spring, as seedlings of small-seeded species cannot rely on reserve compounds when germinating under suboptimal conditions. In the studied ecosystems, spring sampling proved to be most appropriate for the majority of species. Repeated sampling, however, increases the probability of finding species with different germination requirements.				Hermy, Martin/A-3769-2009	Hermy, Martin/0000-0002-5403-0139												0778-4031						2004	137	1					27	35									WOS:000225489700002						
